split,tier,method,metric,mean,median,standard_deviation,systems
truth90_validation,all,NeuralMD,Dyn.contacts.retention.true_right_censored_fraction,0.5814937289095992,0.6201923076923077,0.2615955080307321,90
truth90_validation,all,QField-Dyn,Dyn.contacts.retention.true_span_ps,1756.2359445848385,1223.2142857142858,1493.6468489235253,90
truth90_validation,all,Linear,Dyn.contacts.retention.true_span_ps,1756.2359445848385,1223.2142857142858,1493.6468489235253,90
truth90_validation,all,NeuralMD,Dyn.contacts.retention.true_span_ps,1756.2359445848385,1223.2142857142858,1493.6468489235253,90
truth90_validation,all,QField-Dyn,Dyn.correlations.160.0ps.absolute_error,0.1410771866001002,0.1131453234201297,0.10933900840815287,90
truth90_validation,all,Linear,Dyn.correlations.160.0ps.absolute_error,1.0104767708004407,1.0009418541030648,0.10199510725120206,90
truth90_validation,all,NeuralMD,Dyn.correlations.160.0ps.absolute_error,1.0103118112329976,1.0005666027135611,0.10200559386250659,90
truth90_validation,all,QField-Dyn,Dyn.correlations.160.0ps.predicted,0.017861155811807083,0.03348501841077183,0.12961423796477775,90
truth90_validation,all,Linear,Dyn.correlations.160.0ps.predicted,0.999999869075907,0.9999999221210286,1.4228626035392422e-07,90
truth90_validation,all,NeuralMD,Dyn.correlations.160.0ps.predicted,0.9998349095084639,0.9999199225212494,0.00018271097713201684,90
truth90_validation,all,QField-Dyn,Dyn.correlations.160.0ps.truth,-0.010476901724533923,-0.000941932660653195,0.10199511789396881,90
truth90_validation,all,Linear,Dyn.correlations.160.0ps.truth,-0.010476901724533923,-0.000941932660653195,0.10199511789396881,90
truth90_validation,all,NeuralMD,Dyn.correlations.160.0ps.truth,-0.010476901724533923,-0.000941932660653195,0.10199511789396881,90
truth90_validation,all,QField-Dyn,Dyn.correlations.320.0ps.absolute_error,0.16532141553465113,0.11831872946371821,0.1555254714007196,90
truth90_validation,all,Linear,Dyn.correlations.320.0ps.absolute_error,1.00707570550955,0.9936964302056233,0.13655511996460631,90
truth90_validation,all,NeuralMD,Dyn.correlations.320.0ps.absolute_error,1.0068073998749671,0.9929995764320276,0.13659185878945201,90
truth90_validation,all,QField-Dyn,Dyn.correlations.320.0ps.predicted,0.05525980232141746,0.04206569132597892,0.14971872152946925,90
truth90_validation,all,Linear,Dyn.correlations.320.0ps.predicted,0.9999998687481532,0.999999922592375,1.445813088959834e-07,90
truth90_validation,all,NeuralMD,Dyn.correlations.320.0ps.predicted,0.9997315631135701,0.9998921201143811,0.00033315338971773485,90
truth90_validation,all,QField-Dyn,Dyn.correlations.320.0ps.truth,-0.007075836761396883,0.0063034923713316295,0.13655510020622927,90
truth90_validation,all,Linear,Dyn.correlations.320.0ps.truth,-0.007075836761396883,0.0063034923713316295,0.13655510020622927,90
truth90_validation,all,NeuralMD,Dyn.correlations.320.0ps.truth,-0.007075836761396883,0.0063034923713316295,0.13655510020622927,90
truth90_validation,all,QField-Dyn,Dyn.correlations.640.0ps.absolute_error,0.19331140356088158,0.11878302100255082,0.19964863114394435,90
truth90_validation,all,Linear,Dyn.correlations.640.0ps.absolute_error,1.0109819234962434,1.0106853608363449,0.1738233470284426,90
truth90_validation,all,NeuralMD,Dyn.correlations.640.0ps.absolute_error,1.010475119960945,1.0098410986612503,0.17381239390297787,90
truth90_validation,all,QField-Dyn,Dyn.correlations.640.0ps.predicted,0.039823498965757896,0.024851100301762755,0.2150633839626727,90
truth90_validation,all,Linear,Dyn.correlations.640.0ps.predicted,0.9999998746768735,0.9999999278178803,1.363751792251886e-07,90
truth90_validation,all,NeuralMD,Dyn.correlations.640.0ps.predicted,0.999493071141575,0.9998168455060743,0.0006880082133223308,90
truth90_validation,all,QField-Dyn,Dyn.correlations.640.0ps.truth,-0.010982048819370002,-0.010685423045059542,0.1738233393947607,90
truth90_validation,all,Linear,Dyn.correlations.640.0ps.truth,-0.010982048819370002,-0.010685423045059542,0.1738233393947607,90
truth90_validation,all,NeuralMD,Dyn.correlations.640.0ps.truth,-0.010982048819370002,-0.010685423045059542,0.1738233393947607,90
truth90_validation,all,QField-Dyn,Dyn.correlations.80.0ps.absolute_error,0.1301015617191521,0.1084540401721372,0.0875185214070583,90
truth90_validation,all,Linear,Dyn.correlations.80.0ps.absolute_error,1.4119563129367918,1.4053912239207011,0.1012495816243419,90
truth90_validation,all,NeuralMD,Dyn.correlations.80.0ps.absolute_error,1.4118021084321866,1.4051494927324004,0.10121282843496654,90
truth90_validation,all,QField-Dyn,Dyn.correlations.80.0ps.predicted,-0.4830383472340508,-0.4984357660094011,0.09428245139729578,90
truth90_validation,all,Linear,Dyn.correlations.80.0ps.predicted,0.9999998054465776,0.9999998789943917,2.0822300289294293e-07,90
truth90_validation,all,NeuralMD,Dyn.correlations.80.0ps.predicted,0.9998456009419725,0.9999033874700058,0.00014646279840238103,90
truth90_validation,all,QField-Dyn,Dyn.correlations.80.0ps.truth,-0.4119565074902141,-0.4053913474441899,0.10124963110626885,90
truth90_validation,all,Linear,Dyn.correlations.80.0ps.truth,-0.4119565074902141,-0.4053913474441899,0.10124963110626885,90
truth90_validation,all,NeuralMD,Dyn.correlations.80.0ps.truth,-0.4119565074902141,-0.4053913474441899,0.10124963110626885,90
truth90_validation,all,QField-Dyn,Dyn.displacement_variogram,0.279733533063183,0.14484643490582563,0.6170709510508352,90
truth90_validation,all,Linear,Dyn.displacement_variogram,0.2972327723658277,0.20484682645658667,0.39587344333249475,90
truth90_validation,all,NeuralMD,Dyn.displacement_variogram,0.9345850108428421,0.7141499976815613,0.9239849716312303,90
truth90_validation,all,QField-Dyn,Dyn.ligand_torsions.correlation_160.0ps.defined_torsions,47.81111111111111,40.5,41.51563789420556,90
truth90_validation,all,Linear,Dyn.ligand_torsions.correlation_160.0ps.defined_torsions,47.81111111111111,40.5,41.51563789420556,90
truth90_validation,all,NeuralMD,Dyn.ligand_torsions.correlation_160.0ps.defined_torsions,47.81111111111111,40.5,41.51563789420556,90
truth90_validation,all,QField-Dyn,Dyn.ligand_torsions.correlation_160.0ps.mae,0.08650992851580619,0.04693027726437936,0.10863111164933606,90
truth90_validation,all,Linear,Dyn.ligand_torsions.correlation_160.0ps.mae,0.09055839059075584,0.04567912948146195,0.11633325910598549,90
truth90_validation,all,NeuralMD,Dyn.ligand_torsions.correlation_160.0ps.mae,0.09243215461610789,0.04740292367148137,0.1168883151032063,90
truth90_validation,all,QField-Dyn,Dyn.ligand_torsions.correlation_320.0ps.defined_torsions,47.81111111111111,40.5,41.51563789420556,90
truth90_validation,all,Linear,Dyn.ligand_torsions.correlation_320.0ps.defined_torsions,47.81111111111111,40.5,41.51563789420556,90
truth90_validation,all,NeuralMD,Dyn.ligand_torsions.correlation_320.0ps.defined_torsions,47.81111111111111,40.5,41.51563789420556,90
truth90_validation,all,QField-Dyn,Dyn.ligand_torsions.correlation_320.0ps.mae,0.10362268221578579,0.05397177833009968,0.14903637956369917,90
truth90_validation,all,Linear,Dyn.ligand_torsions.correlation_320.0ps.mae,0.10366122804197422,0.04967152556444733,0.15506827458459932,90
truth90_validation,all,NeuralMD,Dyn.ligand_torsions.correlation_320.0ps.mae,0.10904640970971437,0.05327223976701746,0.15726635329039448,90
truth90_validation,all,QField-Dyn,Dyn.ligand_torsions.correlation_640.0ps.defined_torsions,47.81111111111111,40.5,41.51563789420556,90
truth90_validation,all,Linear,Dyn.ligand_torsions.correlation_640.0ps.defined_torsions,47.81111111111111,40.5,41.51563789420556,90
truth90_validation,all,NeuralMD,Dyn.ligand_torsions.correlation_640.0ps.defined_torsions,47.81111111111111,40.5,41.51563789420556,90
truth90_validation,all,QField-Dyn,Dyn.ligand_torsions.correlation_640.0ps.mae,0.12305199435826844,0.07598789773247772,0.1653741322812259,90
truth90_validation,all,Linear,Dyn.ligand_torsions.correlation_640.0ps.mae,0.12102721657558067,0.06108070023985551,0.16316002672532975,90
truth90_validation,all,NeuralMD,Dyn.ligand_torsions.correlation_640.0ps.mae,0.12502860615213365,0.07522302136537043,0.1747360481688965,90
truth90_validation,all,QField-Dyn,Dyn.ligand_torsions.correlation_80.0ps.defined_torsions,47.81111111111111,40.5,41.51563789420556,90
truth90_validation,all,Linear,Dyn.ligand_torsions.correlation_80.0ps.defined_torsions,47.81111111111111,40.5,41.51563789420556,90
truth90_validation,all,NeuralMD,Dyn.ligand_torsions.correlation_80.0ps.defined_torsions,47.81111111111111,40.5,41.51563789420556,90
truth90_validation,all,QField-Dyn,Dyn.ligand_torsions.correlation_80.0ps.mae,0.07674623078428155,0.038849443185454954,0.10514778779488085,90
truth90_validation,all,Linear,Dyn.ligand_torsions.correlation_80.0ps.mae,0.08114767946177898,0.03895103810852542,0.11177263822829107,90
truth90_validation,all,NeuralMD,Dyn.ligand_torsions.correlation_80.0ps.mae,0.08164755615480394,0.039450367099229416,0.11191214478773197,90
truth90_validation,all,QField-Dyn,Dyn.ligand_torsions.histogram_defined_torsions,47.81111111111111,40.5,41.51563789420556,90
truth90_validation,all,Linear,Dyn.ligand_torsions.histogram_defined_torsions,47.81111111111111,40.5,41.51563789420556,90
truth90_validation,all,NeuralMD,Dyn.ligand_torsions.histogram_defined_torsions,47.81111111111111,40.5,41.51563789420556,90
truth90_validation,all,QField-Dyn,Dyn.ligand_torsions.histogram_js,0.22114476192394356,0.20920267035856466,0.0913777400037689,90
truth90_validation,all,Linear,Dyn.ligand_torsions.histogram_js,0.40118027899058767,0.4074399338936109,0.06735432037347337,90
truth90_validation,all,NeuralMD,Dyn.ligand_torsions.histogram_js,0.3593885594836432,0.34122743638369946,0.07379164864930557,90
truth90_validation,all,QField-Dyn,Dyn.ligand_torsions.invalid_fraction,0.0,0.0,0.0,90
truth90_validation,all,Linear,Dyn.ligand_torsions.invalid_fraction,0.0,0.0,0.0,90
truth90_validation,all,NeuralMD,Dyn.ligand_torsions.invalid_fraction,0.0,0.0,0.0,90
truth90_validation,all,QField-Dyn,Dyn.ligand_torsions.torsions,47.81111111111111,40.5,41.51563789420556,90
