split,tier,reference,metric,systems,mean_difference,median_difference,lower_fraction,equal_fraction,ci95_low,ci95_high
truth90_validation,all,NeuralMD,Dyn.ligand_torsions.correlation_320.0ps.defined_torsions,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,Linear,Dyn.ligand_torsions.correlation_320.0ps.mae,90,-3.854582618844545e-05,-0.0016644866396444795,0.5666666666666667,0.0,-0.005307322814295153,0.004978273506413944
truth90_validation,all,NeuralMD,Dyn.ligand_torsions.correlation_320.0ps.mae,90,-0.005423727493928623,-0.0056998713027382195,0.7,0.0,-0.010477728928063824,-0.00039843972778253156
truth90_validation,all,Linear,Dyn.ligand_torsions.correlation_640.0ps.defined_torsions,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,NeuralMD,Dyn.ligand_torsions.correlation_640.0ps.defined_torsions,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,Linear,Dyn.ligand_torsions.correlation_640.0ps.mae,90,0.002024777782687802,-0.001279531287972386,0.5555555555555556,0.0,-0.0041813977240104504,0.008505017835643655
truth90_validation,all,NeuralMD,Dyn.ligand_torsions.correlation_640.0ps.mae,90,-0.001976611793865195,-0.0039188988902225455,0.5777777777777777,0.0,-0.008430948333350844,0.004200736234837508
truth90_validation,all,Linear,Dyn.ligand_torsions.correlation_80.0ps.defined_torsions,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,NeuralMD,Dyn.ligand_torsions.correlation_80.0ps.defined_torsions,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,Linear,Dyn.ligand_torsions.correlation_80.0ps.mae,90,-0.0044014486774974155,-0.005632331955109335,0.6888888888888889,0.0,-0.009061848933642036,9.772258542270945e-05
truth90_validation,all,NeuralMD,Dyn.ligand_torsions.correlation_80.0ps.mae,90,-0.004901325370522402,-0.006349074839316154,0.7,0.0,-0.009632291835919637,-0.00030756199113795755
truth90_validation,all,Linear,Dyn.ligand_torsions.histogram_defined_torsions,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,NeuralMD,Dyn.ligand_torsions.histogram_defined_torsions,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,Linear,Dyn.ligand_torsions.histogram_js,90,-0.18003551706664417,-0.18632576383032096,0.9888888888888889,0.0,-0.19976467820875465,-0.16030940971001395
truth90_validation,all,NeuralMD,Dyn.ligand_torsions.histogram_js,90,-0.1382437975596996,-0.1315261260029586,0.9777777777777777,0.0,-0.15126778077576694,-0.12560339077345004
truth90_validation,all,Linear,Dyn.ligand_torsions.invalid_fraction,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,NeuralMD,Dyn.ligand_torsions.invalid_fraction,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,Linear,Dyn.ligand_torsions.torsions,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,NeuralMD,Dyn.ligand_torsions.torsions,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,Linear,Dyn.ligand_torsions.true_invalid_fraction,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,NeuralMD,Dyn.ligand_torsions.true_invalid_fraction,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,Linear,Dyn.predicted_mean_atom_rmsf_angstrom,90,-2.4377096757762504,-0.6764708869841615,0.7888888888888889,0.0,-3.474884399007849,-1.5886002659939864
truth90_validation,all,NeuralMD,Dyn.predicted_mean_atom_rmsf_angstrom,90,0.7644171119027852,0.6429571160640424,0.011111111111111112,0.0,0.6700216220365408,0.8724702221450943
truth90_validation,all,Linear,Dyn.radius_of_gyration_w1_angstrom,90,-2.8320829582416622,-0.7283083352954933,0.9111111111111111,0.0,-4.2413080734335304,-1.784308392200616
truth90_validation,all,NeuralMD,Dyn.radius_of_gyration_w1_angstrom,90,0.010899140381657537,0.012050596102327463,0.4222222222222222,0.0,-0.010911904147420323,0.031926072169132146
truth90_validation,all,Linear,Dyn.rmsd_final_angstrom,90,-10.736805321373572,-4.109749232225476,0.9555555555555556,0.0,-15.323135085951044,-7.378058046462137
truth90_validation,all,NeuralMD,Dyn.rmsd_final_angstrom,90,0.3137880605959627,0.25346656336996765,0.3111111111111111,0.0,0.16462614567553166,0.4661378614057712
truth90_validation,all,Linear,Dyn.rmsd_growth_angstrom,90,-10.938799601009448,-4.369875110935373,0.9777777777777777,0.0,-15.126632614022462,-7.734660500378551
truth90_validation,all,NeuralMD,Dyn.rmsd_growth_angstrom,90,-0.006415923741388645,-0.07772452825063131,0.5444444444444444,0.0,-0.15978526829551534,0.14274628508352133
truth90_validation,all,Linear,Dyn.rmsd_time_average_angstrom,90,-5.1708295671447875,-1.9333079506811326,0.9,0.0,-7.1602564965095485,-3.56539114240015
truth90_validation,all,NeuralMD,Dyn.rmsd_time_average_angstrom,90,0.2960750245752673,0.316899742135732,0.2,0.0,0.194616665437557,0.3994665222298298
truth90_validation,all,Linear,Dyn.rmsf_mae_angstrom,90,-1.8483916357467154,-0.2701670273649154,0.7666666666666667,0.0,-2.867907122623873,-1.120175500320334
truth90_validation,all,NeuralMD,Dyn.rmsf_mae_angstrom,90,-0.4648736741233567,-0.4637061855147935,0.9555555555555556,0.0,-0.5344491731591245,-0.4060113690098469
truth90_validation,all,Linear,Dyn.step_distribution_w1_angstrom,90,-0.314144732367921,-0.3403550666516166,0.9111111111111111,0.0,-0.3707128216043783,-0.25332704232440706
truth90_validation,all,NeuralMD,Dyn.step_distribution_w1_angstrom,90,-0.5745167549935062,-0.5912158920151249,0.9666666666666667,0.0,-0.633860882219385,-0.5143919776129181
truth90_validation,all,Linear,Dyn.true_mean_atom_rmsf_angstrom,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,NeuralMD,Dyn.true_mean_atom_rmsf_angstrom,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,Linear,Geo.auc_angstrom_ps,90,-28217.07870671283,-2133.926396681046,0.9,0.0,-41834.57980667146,-17296.937348048512
truth90_validation,all,NeuralMD,Geo.auc_angstrom_ps,90,496.27062842029545,453.47574816349606,0.2,0.0,58.56779301307271,992.0924764459934
truth90_validation,all,Linear,Geo.coordinate_energy_score_angstrom,90,-5.948969641533102,-2.2314893896377077,0.9111111111111111,0.0,-8.180229414288238,-4.067677803353953
truth90_validation,all,NeuralMD,Geo.coordinate_energy_score_angstrom,90,0.307862153796525,0.33345429519969816,0.2111111111111111,0.0,0.20844210065420704,0.41996549337679845
truth90_validation,all,Linear,Geo.final_rmsd_angstrom,90,-10.736805321373572,-4.109749232225476,0.9555555555555556,0.0,-15.269666866242504,-7.497500661372676
truth90_validation,all,NeuralMD,Geo.final_rmsd_angstrom,90,0.3137880605959627,0.25346656336996765,0.3111111111111111,0.0,0.16285650989257347,0.4674386317849652
truth90_validation,all,Linear,Geo.mean_rmsd_angstrom,90,-5.174713349107305,-1.9741107688594983,0.9,0.0,-7.279271734953063,-3.533507163709996
truth90_validation,all,NeuralMD,Geo.mean_rmsd_angstrom,90,0.2961568929931339,0.30828902094838895,0.2,0.0,0.19626953728129787,0.40423270147777945
truth90_validation,all,Linear,Motion.centre_displacement_vector_mae_angstrom,90,-3.5929853462131267,-1.2621383440798497,0.8,0.0,-5.189679350920332,-2.3203917946504737
truth90_validation,all,Linear,Motion.relative_displacement_amplitude_mae_angstrom,90,-4.104469481044692,-1.1052655846272972,0.8111111111111111,0.0,-5.969874038843404,-2.690329628167401
truth90_validation,all,Linear,Phys.angle_mean_squared_excess,90,-0.06487741321266455,-0.022961724086251262,1.0,0.0,-0.07974051056165489,-0.05141724795358138
truth90_validation,all,Linear,Phys.angle_violations,90,-27.91444444444444,-22.59375,1.0,0.0,-32.835739583333336,-23.43675347222222
truth90_validation,all,Linear,Phys.assessed_geometry_valid,90,0.30694444444444446,0.15,0.0,0.4111111111111111,0.2376319444444444,0.38612499999999994
truth90_validation,all,Linear,Phys.bond_mean_squared_excess,90,-17.84046128526807,-1.308654823980365,1.0,0.0,-25.8030572377021,-10.998610579837818
truth90_validation,all,Linear,Phys.bond_violations,90,-29.658333333333335,-24.700000000000003,1.0,0.0,-34.699947916666666,-25.21175347222222
truth90_validation,all,Linear,Phys.ligand_environment_overlap_violations,90,-2.470833333333333,-1.30625,0.8,0.13333333333333333,-3.1413923611111114,-1.830121527777778
truth90_validation,all,Linear,Phys.ligand_self_overlap_violations,90,-0.10333333333333335,0.0,0.13333333333333333,0.8444444444444444,-0.18639583333333332,-0.0349930555555556
truth90_validation,all,Linear,Phys.local_configuration_flips,90,-0.22319444444444447,0.0,0.23333333333333334,0.6777777777777778,-0.33972569444444445,-0.11343055555555577
truth90_validation,all,Linear,Phys.severe_overlap_mean_squared,90,-0.01134057428617922,-0.004172517778429362,0.8111111111111111,0.12222222222222222,-0.01456801092140767,-0.008533478510730712
truth90_validation,all,Linear,Phys_common_heavy.angle_mean_squared_excess,90,-0.08304712376190872,-0.026447692308184213,1.0,0.0,-0.11177291045321096,-0.058990523823935236
truth90_validation,all,NeuralMD,Phys_common_heavy.angle_mean_squared_excess,90,-0.0007012684534558016,1.9874398864018973e-08,0.3333333333333333,0.05555555555555555,-0.001791912428700184,-5.3485069391856546e-05
truth90_validation,all,Linear,Phys_common_heavy.angle_violations,90,-13.026250000000003,-10.16875,1.0,0.0,-15.240687499999998,-11.084875
truth90_validation,all,NeuralMD,Phys_common_heavy.angle_violations,90,1.892222222222222,0.675,0.2222222222222222,0.06666666666666667,0.9917291666666666,2.9968125
truth90_validation,all,Linear,Phys_common_heavy.assessed_geometry_valid,90,0.31999999999999995,0.2,0.044444444444444446,0.28888888888888886,0.2502743055555555,0.3909756944444444
truth90_validation,all,NeuralMD,Phys_common_heavy.assessed_geometry_valid,90,-0.21694444444444447,-0.19999999999999998,0.7,0.05555555555555555,-0.31446527777777783,-0.11789583333333345
truth90_validation,all,Linear,Phys_common_heavy.bond_mean_squared_excess,90,-10.656384604386163,-0.47020671479348775,1.0,0.0,-16.944302637978623,-5.79711827887089
truth90_validation,all,NeuralMD,Phys_common_heavy.bond_mean_squared_excess,90,-0.0012228299122046243,-1.0586293518440658e-06,0.6222222222222222,0.03333333333333333,-0.0022159141560866777,-0.00043183911216649457
truth90_validation,all,Linear,Phys_common_heavy.bond_violations,90,-14.812777777777779,-11.825,1.0,0.0,-17.117954861111112,-12.579829861111111
truth90_validation,all,NeuralMD,Phys_common_heavy.bond_violations,90,1.6175,0.32500000000000007,0.3111111111111111,0.044444444444444446,0.44730902777777787,3.0417708333333326
truth90_validation,all,Linear,Phys_common_heavy.ligand_environment_overlap_violations,90,-2.470833333333333,-1.30625,0.8,0.13333333333333333,-3.144913194444445,-1.8260694444444443
truth90_validation,all,NeuralMD,Phys_common_heavy.ligand_environment_overlap_violations,90,0.1852777777777778,0.0,0.0,0.6888888888888889,0.05999652777777778,0.35569791666666667
truth90_validation,all,Linear,Phys_common_heavy.ligand_self_overlap_violations,90,-0.10333333333333335,0.0,0.13333333333333333,0.8444444444444444,-0.19320138888888888,-0.03721527777777781
truth90_validation,all,NeuralMD,Phys_common_heavy.ligand_self_overlap_violations,90,0.01513888888888889,0.0,0.0,0.9666666666666667,0.0,0.04534027777777745
truth90_validation,all,Linear,Phys_common_heavy.local_configuration_flips,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,NeuralMD,Phys_common_heavy.local_configuration_flips,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,Linear,Phys_common_heavy.severe_overlap_mean_squared,90,-0.011340574215426207,-0.0041725162437696115,0.8111111111111111,0.12222222222222222,-0.014492479341539495,-0.008489261622278395
truth90_validation,all,NeuralMD,Phys_common_heavy.severe_overlap_mean_squared,90,0.00023142903248102767,0.0,0.0,0.6888888888888889,7.156966797243713e-05,0.0004527282245638743
truth90_validation,all,Linear,Phys_v2.assessed_tail_valid_frame_fraction,90,0.8979166666666667,0.9875,0.0,0.0,0.8630520833333334,0.9309722222222222
truth90_validation,all,Linear,Phys_v2.bonded_distribution_comparison.angle.mean_wasserstein,90,-8.781025747495223,-5.807847740833681,1.0,0.0,-10.159935933030955,-7.554569369424241
truth90_validation,all,Linear,Phys_v2.bonded_distribution_comparison.angle.predicted_constraint_variance_mean,90,-13.354621155492767,0.5649417865327369,0.4888888888888889,0.0,-20.97341004613379,-6.471037640808311
truth90_validation,all,Linear,Phys_v2.bonded_distribution_comparison.angle.predicted_within_path_variance_mean,90,-13.354621155492767,0.5649417865327369,0.4888888888888889,0.0,-20.92796336071855,-5.986909792204567
truth90_validation,all,Linear,Phys_v2.bonded_distribution_comparison.angle.reference_constraint_variance_mean,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,Linear,Phys_v2.bonded_distribution_comparison.bond.mean_wasserstein,90,-2.1016648704113905,-0.7455247889667194,1.0,0.0,-2.7249485483027893,-1.4922525872264278
truth90_validation,all,Linear,Phys_v2.bonded_distribution_comparison.bond.predicted_constraint_variance_mean,90,-6.8490459588407715,-0.45638703718587864,1.0,0.0,-10.006097612008633,-4.156323064375772
truth90_validation,all,Linear,Phys_v2.bonded_distribution_comparison.bond.predicted_within_path_variance_mean,90,-6.8490459588407715,-0.45638703718587864,1.0,0.0,-10.003339416885183,-4.178291451183634
truth90_validation,all,Linear,Phys_v2.bonded_distribution_comparison.bond.reference_constraint_variance_mean,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,Linear,Phys_v2.chemistry.checked_centres,90,0.0,0.0,0.0,1.0,0.0,0.0
truth90_validation,all,Linear,Phys_v2.extra_mean_squared_severity.angle_degrees,90,-212.979984066871,-75.37889363756325,1.0,0.0,-260.63975072719455,-166.0794988575365
truth90_validation,all,Linear,Phys_v2.extra_mean_squared_severity.bond_relative,90,-17.84046128526807,-1.308654823980365,1.0,0.0,-26.359964609960425,-11.118937055250564
truth90_validation,all,Linear,Phys_v2.extra_mean_squared_severity.environment_compression,90,-0.011119039965817744,-0.0040157610549392195,0.8111111111111111,0.12222222222222222,-0.014414803413489777,-0.008100863327981688
truth90_validation,all,Linear,Phys_v2.extra_mean_squared_severity.self_compression,90,-1.982024494639646e-05,0.0,0.13333333333333333,0.8444444444444444,-3.606314991823206e-05,-7.53756063390427e-06
